Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
LadyMayMay,315,883,507,3,768.25,0,0,0,0,0,768.25
Brokenjades,2,73,504,5,537.45,0,0,0,0,0,537.45
Loos shadow,290,593,289,0,466.25,0,0,0,0,0,466.25
ReyN,218,470,262,0,401.3,0,0,0,0,0,401.3
Lil Lioness,826,848,3,0,297.6,0,0,0,0,0,297.6
8track,8,606,123,0,275.3,0,0,0,0,0,275.3
ZorO,61,763,63,0,259.85,0,0,0,0,0,259.85
LadyLu,1,189,199,0,246.35,0,0,0,0,0,246.35
Efah,351,300,131,1,244.1,0,0,0,0,0,244.1
Little Tudor,513,684,21,0,243.3,0,0,0,0,0,243.3
Dazzerrie,0,0,5,77,236.0,0,0,0,0,0,236.0
LadyRooRoo,2,210,171,1,226.7,0,0,0,0,0,226.7
Rum runner,93,380,118,0,222.3,0,0,0,0,0,222.3
kela,606,276,81,0,210.6,0,0,0,0,0,210.6
Wolvesbane,1759,113,1,0,205.15,0,0,0,0,0,205.15
ThaNOs,0,3,92,37,203.75,0,0,0,0,0,203.75
Nagala,301,273,78,0,176.35,0,0,0,0,0,176.35
NeGan,0,0,163,0,163.0,0,0,0,0,0,163.0
Anadolu EFES,0,0,136,7,157.0,0,0,0,0,0,157.0
LILth,0,5,139,2,146.25,0,0,0,0,0,146.25
Lil Doom,0,0,127,4,139.0,0,0,0,0,0,139.0
Korioko,0,551,0,0,137.75,0,0,0,0,0,137.75
alek,0,4,120,1,124.0,0,0,0,0,0,124.0
Snowbody,0,0,119,0,119.0,0,0,0,0,0,119.0
Loos,0,31,107,0,114.75,0,0,0,0,0,114.75
Ares Inferno,66,205,54,0,111.85,0,0,0,0,0,111.85
brokenjade00,1,15,105,0,108.85,0,0,0,0,0,108.85
DonKanallje,4,47,76,6,106.15,0,0,0,0,0,106.15
TortureAngel,0,36,93,0,102.0,0,0,0,0,0,102.0
malphite,0,1,98,0,98.25,0,0,0,0,0,98.25
Lil Stinker,0,0,92,0,92.0,0,0,0,0,0,92.0
Orkam,0,30,81,0,88.5,0,0,0,0,0,88.5
tank007,0,97,59,0,83.25,0,0,0,0,0,83.25
YumYum,0,0,81,0,81.0,0,0,0,0,0,81.0
ReyNema,0,11,59,5,76.75,0,0,0,0,0,76.75
Perun,0,3,76,0,76.75,0,0,0,0,0,76.75
FLuffyBunny,0,0,76,0,76.0,0,0,0,0,0,76.0
MinaOfDoom,0,0,70,1,73.0,0,0,0,0,0,73.0
shiny,0,170,28,0,70.5,0,0,0,0,0,70.5
Lord Tudor,0,7,68,0,69.75,0,0,0,0,0,69.75
Lord Casco,0,208,17,0,69.0,0,0,0,0,0,69.0
DagNab It,0,0,68,0,68.0,0,0,0,0,0,68.0
Yum Yum 1,0,1,67,0,67.25,0,0,0,0,0,67.25
Lord Pori,0,5,14,17,66.25,0,0,0,0,0,66.25
Pori Junior,39,96,34,0,61.9,0,0,0,0,0,61.9
Wolffssonson,288,105,2,0,57.05,0,0,0,0,0,57.05
Laxuss Redwyne,0,3,53,1,56.75,0,0,0,0,0,56.75
Pennybags 7,0,0,56,0,56.0,0,0,0,0,0,56.0
Letel,542,0,0,0,54.2,0,0,0,0,0,54.2
Lady Lioness,0,41,42,0,52.25,0,0,0,0,0,52.25
tank008,326,71,0,0,50.35,0,0,0,0,0,50.35
Wuesti,0,0,49,0,49.0,0,0,0,0,0,49.0
Wolffsson,0,13,45,0,48.25,0,0,0,0,0,48.25
RaGnar,0,0,46,0,46.0,0,0,0,0,0,46.0
brokenjade01,70,115,5,0,40.75,0,0,0,0,0,40.75
ProximaMdnit,0,1,40,0,40.25,0,0,0,0,0,40.25
Lord Greg,1,47,26,0,37.85,0,0,0,0,0,37.85
CullObsidian,0,0,37,0,37.0,0,0,0,0,0,37.0
CorVusGlaive,0,0,35,0,35.0,0,0,0,0,0,35.0
Oma2015,0,0,33,0,33.0,0,0,0,0,0,33.0
Morana 1,0,0,8,8,32.0,0,0,0,0,0,32.0
Durrandon800,1,107,2,0,28.85,0,0,0,0,0,28.85
Chaos2018,0,10,24,0,26.5,0,0,0,0,0,26.5
gibbs,0,101,0,0,25.25,0,0,0,0,0,25.25
PPaTT,0,90,0,0,22.5,0,0,0,0,0,22.5
Tuatahi,0,17,16,0,20.25,0,0,0,0,0,20.25
CHOCO1,0,38,9,0,18.5,0,0,0,0,0,18.5
CHOCO TWIST,0,42,8,0,18.5,0,0,0,0,0,18.5
Ze Joker,0,0,18,0,18.0,0,0,0,0,0,18.0
Frickey,0,0,18,0,18.0,0,0,0,0,0,18.0
APOLO1,124,10,0,0,14.9,0,0,0,0,0,14.9
Orkwam,78,24,0,0,13.8,0,0,0,0,0,13.8
LilLetel,119,0,0,0,11.9,0,0,0,0,0,11.9
brokenjade03,34,29,0,0,10.65,0,0,0,0,0,10.65
tiks n tease,0,22,5,0,10.5,0,0,0,0,0,10.5
sonar,35,16,0,0,7.5,0,0,0,0,0,7.5
Chrispep,31,3,0,0,3.85,0,0,0,0,0,3.85
brokenjade20,14,0,0,0,1.4,0,0,0,0,0,1.4
tank009,9,0,0,0,0.9,0,0,0,0,0,0.9
Drunkard,0,3,0,0,0.75,0,0,0,0,0,0.75
Borutha,1,0,0,0,0.1,0,0,0,0,0,0.1
tank010,0,0,0,0,0.0,0,0,0,0,0,0.0
Kpolice,0,0,0,0,0.0,0,0,0,0,0,0.0
