,Players,Prev3's,Prev4's,Prev5's,Prev6's,Cur3's,Cur4's,Cur5's,Cur6's,Inc3's,Inc4's,Inc5's,Inc6's,3@0point,4@1point,5@5point,6@5point,total
67,SFuRak,0,0,0,0,212,5835,1245,4,212,5835,1245,4,0,5835,6225,20,12080
0,King Rale,0,0,0,0,0,176,1992,203,0,176,1992,203,0,176,9960,1015,11151
8,JohnHawkwood,0,0,0,0,1,2018,1588,137,1,2018,1588,137,0,2018,7940,685,10643
5,Guts Black,0,0,0,0,1348,2851,1339,146,1348,2851,1339,146,0,2851,6695,730,10276
2,EDOX,0,0,0,0,0,1631,1499,174,0,1631,1499,174,0,1631,7495,870,9996
33,SashaM,0,0,0,0,0,799,1695,56,0,799,1695,56,0,799,8475,280,9554
28,Dasharath,0,0,0,0,51,4896,845,67,51,4896,845,67,0,4896,4225,335,9456
32,MaceWindujr,0,0,0,0,0,1276,1510,59,0,1276,1510,59,0,1276,7550,295,9121
20,Kingsy D,0,0,0,0,190,3464,1030,90,190,3464,1030,90,0,3464,5150,450,9064
38,SEARCHER,0,0,0,0,47,1525,1336,35,47,1525,1336,35,0,1525,6680,175,8380
84,komyc,0,0,0,0,1,2743,1125,0,1,2743,1125,0,0,2743,5625,0,8368
85,Foxxy,0,0,0,0,229,3265,904,0,229,3265,904,0,0,3265,4520,0,7785
16,Duke Martin,0,0,0,0,0,2095,1010,95,0,2095,1010,95,0,2095,5050,475,7620
68,30PAH,0,0,0,0,0,3372,820,4,0,3372,820,4,0,3372,4100,20,7492
66,MORTI,0,0,0,0,0,196,1435,4,0,196,1435,4,0,196,7175,20,7391
12,StankoSRBLFC,0,0,0,0,0,1851,940,123,0,1851,940,123,0,1851,4700,615,7166
55,malimiki,0,0,0,0,30,3449,708,10,30,3449,708,10,0,3449,3540,50,7039
1,Lord Gitter,0,0,0,0,0,1251,930,201,0,1251,930,201,0,1251,4650,1005,6906
57,Karlosas,0,0,0,0,0,0,1283,7,0,0,1283,7,0,0,6415,35,6450
3,MorganKell,0,0,0,0,0,0,1090,161,0,0,1090,161,0,0,5450,805,6255
40,GEERT,0,0,0,0,4,868,1026,30,4,868,1026,30,0,868,5130,150,6148
54,buddha6366,0,0,0,0,0,842,983,12,0,842,983,12,0,842,4915,60,5817
24,brokenjade,0,0,0,0,0,2,1079,79,0,2,1079,79,0,2,5395,395,5792
29,xstanfordx,0,0,0,0,0,0,1090,64,0,0,1090,64,0,0,5450,320,5770
34,12M,0,0,0,0,0,1421,747,49,0,1421,747,49,0,1421,3735,245,5401
60,R1m,0,0,0,0,0,0,1069,6,0,0,1069,6,0,0,5345,30,5375
6,HussyofWhips,0,0,0,0,0,0,917,142,0,0,917,142,0,0,4585,710,5295
41,Wntrking,0,0,0,0,0,0,1014,30,0,0,1014,30,0,0,5070,150,5220
58,EnchantressM,0,0,0,0,0,0,1031,7,0,0,1031,7,0,0,5155,35,5190
59,docente,0,0,0,0,3,1189,741,7,3,1189,741,7,0,1189,3705,35,4929
31,KING MAXIMUS,0,0,0,0,0,0,845,60,0,0,845,60,0,0,4225,300,4525
23,ELENA,0,0,0,0,0,0,820,82,0,0,820,82,0,0,4100,410,4510
4,pikabooooo,0,0,0,0,0,954,560,150,0,954,560,150,0,954,2800,750,4504
19,SlackOfDoom,0,0,0,0,1,39,787,91,1,39,787,91,0,39,3935,455,4429
11,Theomore,0,0,0,0,0,0,759,126,0,0,759,126,0,0,3795,630,4425
35,17Palad1nOnm,0,0,0,0,0,0,813,46,0,0,813,46,0,0,4065,230,4295
73,MariaZoe,0,0,0,0,0,1,852,2,0,1,852,2,0,1,4260,10,4271
22,koddi,0,0,0,0,1,6,742,84,1,6,742,84,0,6,3710,420,4136
13,BuharaShroom,0,0,0,0,0,12,695,119,0,12,695,119,0,12,3475,595,4082
21,Jaredsc,0,0,0,0,0,0,713,89,0,0,713,89,0,0,3565,445,4010
14,DarkLord Dan,0,0,0,0,0,0,701,99,0,0,701,99,0,0,3505,495,4000
10,dingleberry,0,0,0,0,0,0,655,130,0,0,655,130,0,0,3275,650,3925
27,Klaus Schnee,0,0,0,0,0,0,707,71,0,0,707,71,0,0,3535,355,3890
78,DKH,0,0,0,0,0,1,768,1,0,1,768,1,0,1,3840,5,3846
36,Gunnarr716,0,0,0,0,0,0,713,46,0,0,713,46,0,0,3565,230,3795
30,xLestat,0,0,0,0,0,0,694,62,0,0,694,62,0,0,3470,310,3780
26,Schurke66,0,0,0,0,0,0,679,73,0,0,679,73,0,0,3395,365,3760
9,LalaTheWhite,0,0,0,0,0,0,616,131,0,0,616,131,0,0,3080,655,3735
45,Lord Anibal,0,0,0,0,0,17,716,23,0,17,716,23,0,17,3580,115,3712
7,ArT,0,0,0,0,1,0,591,140,1,0,591,140,0,0,2955,700,3655
64,ZENZEY,0,0,0,0,0,0,719,5,0,0,719,5,0,0,3595,25,3620
18,VASE,0,0,0,0,0,1,629,92,0,1,629,92,0,1,3145,460,3606
86,arcane,0,0,0,0,0,0,694,0,0,0,694,0,0,0,3470,0,3470
61,Sir Mogque,0,0,0,0,6,0,668,6,6,0,668,6,0,0,3340,30,3370
62,Csapek,0,0,0,0,5,0,668,6,5,0,668,6,0,0,3340,30,3370
25,knyaz Elemag,0,0,0,0,1,5,593,76,1,5,593,76,0,5,2965,380,3350
52,Blackrainbow,0,0,0,0,0,4,648,16,0,4,648,16,0,4,3240,80,3324
74,L Mariscal,0,0,0,0,0,4,654,2,0,4,654,2,0,4,3270,10,3284
48,vampirewolfG,0,0,0,0,0,1,632,19,0,1,632,19,0,1,3160,95,3256
87,UhtredR,0,0,0,0,0,2,599,0,0,2,599,0,0,2,2995,0,2997
50,DIKEFALOS21,0,0,0,0,0,0,575,18,0,0,575,18,0,0,2875,90,2965
79,DownBubble,0,0,0,0,0,2,587,1,0,2,587,1,0,2,2935,5,2942
47,TripleP,0,0,0,0,0,2,563,21,0,2,563,21,0,2,2815,105,2922
17,Wareblade,0,0,0,0,0,0,479,94,0,0,479,94,0,0,2395,470,2865
15,mirjan,0,0,0,0,0,10,461,99,0,10,461,99,0,10,2305,495,2810
65,didialfeim,0,0,0,0,0,0,535,5,0,0,535,5,0,0,2675,25,2700
69,Thos,0,0,0,0,0,2,515,4,0,2,515,4,0,2,2575,20,2597
80,Alice Fart,0,0,0,0,0,0,507,1,0,0,507,1,0,0,2535,5,2540
51,Boss X,0,0,0,0,0,44,473,18,0,44,473,18,0,44,2365,90,2499
75,Eragon67,0,0,0,0,0,1,424,2,0,1,424,2,0,1,2120,10,2131
81,FaFnir,0,0,0,0,0,0,423,1,0,0,423,1,0,0,2115,5,2120
76,freeze3,0,0,0,0,0,0,400,2,0,0,400,2,0,0,2000,10,2010
44,RMonn,0,0,0,0,0,0,362,25,0,0,362,25,0,0,1810,125,1935
42,Draakir,0,0,0,0,0,0,358,28,0,0,358,28,0,0,1790,140,1930
43,IronPrice,0,0,0,0,0,0,358,27,0,0,358,27,0,0,1790,135,1925
46,FreyaMaiden,0,0,0,0,0,0,348,22,0,0,348,22,0,0,1740,110,1850
37,Maverick,0,0,0,0,0,0,318,40,0,0,318,40,0,0,1590,200,1790
56,Brooster,0,0,0,0,0,0,327,9,0,0,327,9,0,0,1635,45,1680
49,Freyyr,0,0,0,0,0,0,298,19,0,0,298,19,0,0,1490,95,1585
88,RoGue Prince,0,0,0,0,0,0,290,0,0,0,290,0,0,0,1450,0,1450
39,Odr,0,0,0,0,0,2,254,31,0,2,254,31,0,2,1270,155,1427
82,GooSE,0,0,0,0,0,0,281,1,0,0,281,1,0,0,1405,5,1410
77,tiddabeth,0,0,0,0,0,0,249,2,0,0,249,2,0,0,1245,10,1255
71,pembaa,0,0,0,0,0,0,229,3,0,0,229,3,0,0,1145,15,1160
53,AHEGON,0,0,0,0,0,0,176,15,0,0,176,15,0,0,880,75,955
63,Omnos,0,0,0,0,0,0,165,6,0,0,165,6,0,0,825,30,855
89,Mindaugyno,0,0,0,0,0,1,163,0,0,1,163,0,0,1,815,0,816
70,Daessa,0,0,0,0,0,0,139,4,0,0,139,4,0,0,695,20,715
83,Kaelthas27,0,0,0,0,0,2,81,1,0,2,81,1,0,2,405,5,412
90,sakis111,0,0,0,0,0,0,30,0,0,0,30,0,0,0,150,0,150
72,S4TN4AM1R,0,0,0,0,0,0,20,3,0,0,20,3,0,0,100,15,115
